name,organization,description_short,category,website,status,goal,proportionality,lawful_basis,standard_version,url,contact_email,lang,publiccode,source_data,methods_and_models,human_intervention,risks,provider,process_index_url,tags,source_id,begin_date,end_date,impacttoetsen,publication_category,lawful_basis_grouping,impacttoetsen_grouping,source_data_grouping,algorithm_id
Chatbot municipal website,Municipality of Wijchen,"The municipality has a chatbot, it is called Robin. Someone asks the chatbot a question. The bot sends the question to OpenAI for analysis. OpenAI creates an answer and sends it back to the bot. The answer is created with sources provided by the bot. In this case, the URLs of the website www.wijchen.nl.",Organisation and business operations,https://www.wijchen.nl/over-deze-website,In use,The chatbot is part of our municipal website. The bot provides our residents with an additional digital channel. The chatbot helps to find information on the website. The bot also answers questions easily and quickly based on information found on the website.,Residents can use the bot to get answers to all kinds of questions in an accessible and quick way. The bot is available anytime and anywhere. Other existing channels remain available to ask questions to the municipality.,,1.0,,gemeente@wijchen.nl,nld,,All information available on the municipality's website (www.wijchen.nl).This information is 'public information'.,"The application manager at the municipality puts sources (URLs) into the bot platform of software vendor OBI4WAN. OpenAI reads in the sources. OpenAI's language model uses these sources to provide a response. In the bot platform, the tone of the response is determined. The tone defaults to 'formal'. OpenAI sends the answer back to the bot platform and the questioner. The information sent to OpenAI is destroyed after 30 days. The data is not used for training or improving the language model. Nor will the data be resold. However, data may be analysed to prevent misuse. If someone asks a question with personal data, the question is blocked and not sent to OpenAI. The questioner has to ask the question in another way, without personal data.",The current version of the bot is not yet a self-learning bot. A municipal employee checks afterwards whether the answers given are correct and answer the question. We can improve the answers given by the chatbot by modifying the source (information on our website).,"If residents enter personal data in the chatbot, they will receive a warning and the data will not be sent.We only reply based on public information on the website www.wijchen.nl.The chatbot uses OpenAI's language model (Large Language Model or LLM). With that, interaction takes place that is needed to provide the answers.There is a chance that the bot may give the wrong answer. For this, we have included a disclaimer on the website. This risk also exists if there is an error on our website or if an employee gives the wrong answer to a question.",OBI4WAN and OpenAI (sub-vendor),,municipal websitechatbotRobin,,2025-01,,,Other algorithms,,,,52517293
Chatbot municipal website,Municipality of Druten,"The municipality has a chatbot, it is called Robin. Someone asks the chatbot a question. The bot sends the question to OpenAI for analysis. OpenAI creates an answer and sends it back to the bot. The answer is created with sources provided by the bot. In this case, the URLs of the website www.druten.nl.",Organisation and business operations,https://www.druten.nl/over-deze-website,In use,The chatbot is part of our municipal website. The bot provides our residents with an additional digital channel. The chatbot helps to find information on the website. The bot also easily and quickly answers questions based on information found on the website.,Residents can use the bot to get answers to all kinds of questions in an accessible and quick way. The bot is available anytime and anywhere. Other existing channels remain available to ask questions to the municipality.,,1.0,,info@druten.nl,nld,,All information available on the municipality's website (www.druten.nl). This information is 'public information'.,"The application manager at the municipality puts sources (URLs) into the bot platform of software vendor OBI4WAN. OpenAI reads in the sources. OpenAI's language model uses these sources to provide a response. In the bot platform, the tone of the response is determined. The tone defaults to 'formal'. OpenAI sends the answer back to the bot platform and the questioner. The information sent to OpenAI is destroyed after 30 days. The data is not used for training or improving the language model. Nor will the data be resold. However, data may be analysed to prevent misuse. If someone asks a question with personal data, the question is blocked and not sent to OpenAI. The questioner has to ask the question in another way, without personal data.",The current version of the bot is not yet a self-learning bot. A municipal employee checks afterwards whether the answers given are correct and answer the question. We can improve the answers given by the chatbot by modifying the source (information on our website).,"If residents enter personal data in the chatbot, they will receive a warning and the data will not be sent.We only reply based on public information on the website www.druten.nl.The chatbot uses OpenAI's language model (Large Language Model or LLM). With that, interaction takes place that is needed to provide the answers.There is a chance that the bot may give the wrong answer. For this, we have included a disclaimer on the website. This risk also exists if there is an error on our website or if an employee gives the wrong answer to a question.",OBI4WAN and OpenAI (sub-vendor),,municipal websitechatbotRobin,,2025-01,,,Other algorithms,,,,43833636
HAVANK,Police,"In HAVANK (The Automated Fingerprinting System Dutch Kollektie), finger and palm prints are converted to a code. The algorithm compares this code with the codes in the Criminal Justice Database, which contains the finger and handprints of suspects and convicts of crimes punishable by a prison sentence of four years or more.",Public Order and Safety,,In use,"The purpose of the algorithm is the automated comparison of fingerprints and handprints (hereafter fingerprints). Establishing a person's identity is of great importance in police processes. It is at the heart of investigations. Comparing many fingerprints is impossible and impracticable for a human being. Therefore, fingerprint comparison is automated. This algorithm contributes to efficient and effective policing, increasing the chance of being caught and thus safety. The police use fingerprints to establish or verify a person's identity. This can include suspects, victims of crime, unknown deaths and witnesses. Forensics secures fingerprint traces at crime scenes and uses them to conduct investigations. The aim is to find the donor of the trace for truth-finding in criminal investigations and for evidence. HAVANK contains fingerprints of suspects and convicted persons of crimes punishable by four years or more in prison.","Comparing the large quantities of fingerprints and traces manually is impossible and impracticable for a human being. Therefore, comparing fingerprints and traces is automated. This makes it much more likely to be recognised and less likely to make mistakes.","The processing of the comparison of biometric data falls under the Police Data Act section 13(1c), identification of persons or things. In particular, the following articles are further explained in the context of processing:- Article 5 (special categories of police data): The processing of police data revealing racial, ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, or data relating to health, sexual life and sexual orientation shall take place only if it is unavoidable for the purpose of the processing, in addition to the processing of other police data relating to the person and the data are adequately secured. - Article 7a: A decision based solely on automated processing, including profiling, which produces adverse legal effects on or significantly affects the data subject shall be prohibited, unless provision is made for prior human intervention by or on behalf of the controller and for specific information to the data subject.- Code of Criminal Procedure Articles 22(4), 27a, 29a, 55c, 61a and 190- Penal Code articles 14c, 15a, 38, 38p, 38ab, 77f, 77ta, 77w, 77z and 447e- Aliens Act 2000, sections 50 (identification) and 107 (processing fingerprints)- Act and Decree on determining the identity of suspects and convicted persons - Prüm Decision and other international treaties, for exchanging biometric data with foreign countries- Code of Criminal Procedure article 55 c paragraph 4: Fingerprints may also be processed for the prevention, detection, prosecution and trial of criminal offences and establishing the identity of a corpse.",1.0,,https://www.politie.nl,nld,,Images of fingerprints and traces of hand and fingerprints.,"HAVANK converts an image of a fingerprint into an ""arithmetic key"" using an algorithm. This key is stored under a unique registration in a database. The image is also stored under the unique registration. If a new fingerprint is presented to the system then the algorithm will again determine the ""arithmetic key"" and store it under a new unique registration. With this arithmetic key, a comparison is performed with all the arithmetic keys in the database. Using the algorithm, a score is then determined for each comparison.The algorithm fingerprints for identity determination produces a hit-no-hit result. This is done on the basis of a score: if the score is above a certain value then it is a hit, if the score is below a certain value then it is a no-hit. The algorithm traces hand and fingerprints to produce a candidate list of scores. The algorithm is not self-learning.","The algorithm fingerprints for identity determination produces a hit-no-hit result. This is done on the basis of a score: if the score is above a certain value then it is a hit, if the score is below a certain value then it is a no-hit.The algorithm traces hand and fingerprints to produce a candidate list of scores. An expert examines the fingerprints presented by the system with the trace and investigates whether there might be a match. If there is no match then the investigation is closed with 'no recognition'. If there is a match then two other experts compare this match. They do this independently. Only when the three experts come to the same conclusion, formal individualisation occurs and is recorded in a report.","- Only trained and authorised experts have access to the algorithm and fingerprints.- To avoid bias, experts do not know which case they are working on, experts do not know from each other who is working on which case, and experts do not see each other's results.- Automatic results are only generated above a reliable score threshold. A human checks if the data is correct or if there are any possible discrepancies.- The results of the trace comparison algorithm are always assessed by at least three certified experts from the police according to a standardised work process under ISO 17025 accreditation (standard for testing and calibration laboratories). The outcome of the processing is thus the conclusion of three human experts.",IDEMIA,,"Havank, fingerprints",,2022-07,,,High-Risk AI-system,,1: Data Protection Impact Assessment (DPIA),,84289214
Digital applications for civil affairs,Municipality of Druten,Residents and entrepreneurs in the municipality have the option to apply for certain civic affairs products digitally via the municipal website. Some of these digital requests can be automatically approved and processed using an algorithm. ,Organisation and business operations,https://www.druten.nl/over-deze-website,In use,"The purpose of the algorithm is to help residents and business owners with digital applications or returns. The algorithm processes certain applications and returns completely automatically. The algorithm checks the resident's data. Only if the municipality needs more data or checks or actions are required, a civil affairs employee jumps in. The algorithm can only approve an application or declaration. Only the civil affairs employee can reject it. Use of the algorithm is never negative for the resident.Residents who prefer not to submit their applications digitally are still welcome at the counter. For example, when residents are not good with computers.","The municipality is getting increasingly busy with applications. Processing all requests at the counter is no longer possible. Certain requests made digitally can be further automated using an algorithm. With an algorithm for simple applications / declarations, the employee will have more time for more complicated applications. This improves the quality of service. The quality of data in the Basic Registration of Persons (BRP) also improves. ","Law on basic registration of persons
Civil Status Act",1.0,,info@druten.nl	,nld,,"Data used comes from the Basic Registration of Persons (BRP), civil status registers, Chamber of Commerce (CoC), Central Driving Licence Register (CRB) and linked data.","Through the municipality's website, a resident or entrepreneur applies for a digital product or service. While filling in, the algorithm already checks whether the application is in accordance with the laws and regulations. A fully completed digital application or declaration appears on a work list at the municipality's civic affairs department. An employee evaluates the application and processes it.The municipality can choose which applications the algorithm may handle automatically and which must always be handled by an employee. ","The algorithm and work process are designed so that there are no risks of negative consequences for residents.Only simple declarations and applications are processed automatically. The algorithm assumes a positive scenario. If one or more peculiarities occur, the application/declaration is always assessed by a civil affairs employee. The civil affairs officer then checks it himself. The application/declaration is either processed or rejected. In case of rejection, it is always the civic affairs officer who does this and never the algorithm. Thus, the algorithm never leads to automatic decision-making by the algorithm that may have a negative impact on the resident.",,PinkRoccade Local Government,,Civil AffairsDigital applicationsDigital returns,,2022-07,,,Other algorithms,"1: Wet basisregistratie personen, https://wetten.overheid.nl/BWBR0033715. 2: Wet rechten burgerlijke stand, https://wetten.overheid.nl/BWBR0001851",,"1: BRP, https://www.rvig.nl/basisregistratie-personen. 2: LV BAG, https://www.kadaster.nl/zakelijk/registraties/basisregistraties/bag. 3: CRB, https://www.rdw.nl/",33464754
Sampler,Legal Aid Board,"If a lawyer/mediator applies for subsidised legal aid for a citizen, this must be substantiated with documents. To speed up the process, a procedure has been devised whereby applications for an addition or declaration are granted automatically. This is checked afterwards by means of a random check.",Law,https://www.rvr.org/advocaten/ingeschreven/high-trust/,In use,"The Legal Aid Board has developed a working method for lawyers and mediators to reduce administrative burdens. This working method is based on mutual trust. Additions and declarations are automatically granted to the lawyers and mediators who use it. There are various ways of checking this, random sampling being one of them. This publication relates to the algorithm behind the random sampler.Purpose samplerIn this collaborative relationship with lawyers and mediators, it is assumed that the office takes responsibility for properly applying the rules under the Legal Aid Act. To check whether offices have applied the rules properly and have not received too much (or too little) subsidy, a random check is carried out.The aim of the random checker is to select a number of random cases per office over a certain control period. Depending on the quantity of cases, the check takes place once a year, six months or quarterly. A control period is never skipped. Using the random sampler in Excel, random cases are selected to be checked. The quantity of cases selected should yield 10% of the total number of cases, with a minimum of 20 cases.Once a sample has been drawn, an employee of the Legal Aid Board checks the cases substantively. The process on how to proceed is beyond the scope of this publication.ImpactThe sampler only has an impact on selecting cases from a given period.","The advantage of using the sampler is that it ensures independence and uniformity. Legal Aid Board employees have no influence on the selection of cases in the sample.An alternative could be that a Legal Aid Board employee manually selects offices and cases, possibly resulting in certain offices or cases being selected more often than other offices. The use of the sampler prevents cases from being selected on an arbitrary basis.",Article 7(3)(c) Legal Aid Act,1.0,,algoritme@rvr.org,nld,,- start date sample period- sample end date- high-trust start date- office name lawyer/mediator- client number/file number- litigant name- case code,"Random sampling takes place with a VBA script in Excel that randomly selects cases. Each time a new query is made, new cases/declarations are selected.The technical operation behind the sampler takes into account the amount of the fee. A high fee is more likely to be in the sample than a low fee. All cases with a fee higher than EUR 3,500 are added to the sample in any case.Once the (initial) sample is drawn, it is checked whether at least two cases of each lawyer/mediator within the firm are in the sample. If this is not the case, additional cases targeted at these lawyers/mediators are added to the sample in an additional process until this minimum number is reached.","The algorithm is used to select random files. After this, an employee checks whether the sample was conducted correctly. Among other things, the check sees if the right amount of cases have been selected to meet the minimum standard for a successful sample selection. These requirements are set out in an internal protocol.","The established protocol can only be amended with the approval of the management team.In addition, any change to the general terms and conditions of this working method is always preceded by consultation with the Netherlands Bar Association and the Mediators' Federation of the Netherlands.",,,Legal Aid BoardRvRSample checkHigh TrustSubsidised legal aidWrbLegal Aid Act,,2009,,,Other algorithms,"1: Artikel 7 lid 3 sub c Wet op de rechtsbijstand, https://wetten.overheid.nl/jci1.3:c:BWBR0006368&hoofdstuk=II&afdeling=2&artikel=7&z=2024-07-01&g=2024-07-01",1: Data Protection Impact Assessment (DPIA),,73772213
Salesforce Einstein Chatbot,Municipality of Amsterdam,Einstein is a chatbot that can interact with website visitors. Einstein uses a natural language processing (NLP) algorithm to recognise the intent of a question asked.,Organisation and business operations,https://www.amsterdam.nl/contact/,In use,The Amsterdam municipality is engaged in a programme to improve contact with Amsterdammers.   The chatbot contributes to this goal: a new low-threshold automated communication channel where citizens receive predefined answers 24/7 from a chatbot and (within opening hours) can be connected to an employee.  Einstein is a chatbot that can communicate with a resident using natural language recognition. Einstein uses an algorithm to recognise the intent of a question asked.   This algorithm is used to trigger one of the following actions: Providing a predefined answer to frequently asked questions.The algorithm does not create answers. Transferring the call to the appropriate department.  The algorithm is self-learning because it learns to better recognise residents' intentions. Forwarding is done based on a routing table managed by the Amsterdam municipality. This is not self-learning. ,"Using a chatbot alongside existing communication channels makes the municipality of Amsterdam more accessible. Citizens can choose between different communication channels.  A chatbot meets the need for 24/7 service. It also provides residents with faster answers to questions. Because common questions are handled by the chatbot, employees have more time for personal contact with citizens.  The chatbot does not ask for personal data, but the user may still share personal data. The chatbot's welcome message therefore starts the conversation with the following warning: Remember your privacy, do not share personal data.   To reduce the risk of wrong answers, we do not use generative AI. All answers are pre-formulated and checked by humans.  Also, no data from the Amsterdam municipality is used to train the NLP algorithm.   Residents who prefer contact with a person can be put through to a staff member (within opening hours). ",The General Data Protection Regulation (GDPR) defines 'tasks in the public interest' as tasks related to the exercise of public authority or tasks carried out by a body entrusted with a public task. Services provided by the municipality fall within this definition. ,1.0,,algoritmen@amsterdam.nl,nld,,"Salesforce does not use external data to train its NLP models, but uses data from its customers.  The municipality of Amsterdam has opted out. As a result, data from Amsterdam is not used to train algorithms. ",The chatbot uses Natural Language Processing (NLP) to recognise the intent of the question from free text (from the chat conversation). ,Training and adjusting the models used by the chatbot is done by humans. As will the monitoring of the chatbot's performance and conversations. Complex questions or unclear outcomes will be referred to a human. Questions requiring personal data will also always be referred to a human. ,"Vendor Salesforce uses best practices, tools and frameworks for developing and using Salesforce products to ensure that its products, features, models and apps are trustworthy, avoid bias and discriminatory outcomes and prioritise transparency.  More information can be found at Responsible AI and Technology | Salesforce US  Has also joined the: EU Artificial Intelligence Act US AI Safety Institute Consortium  The chatbot does not ask for personal data, but the user may still share personal data. The chatbot's welcome message therefore starts the conversation with the following warning: Remember your privacy, do not share personal data.    To reduce the risk of wrong answers, we do not use generative AI. All answers are pre-formulated and checked by humans.  Also, no data from the Amsterdam municipality is used to train the NLP algorithm.   Residents who prefer to contact a person can be connected (within opening hours) to a staff member. ",Salesforce,https://www.amsterdam.nl/privacy/verwerkingsregister/verwerkingsregister-avg/,"Chatbot, NLP",,02-2025,,Ethics leaflet implemented; no IAMA required.,Impactful algorithms,,1: Data Protection Impact Assessment (DPIA). 2: Ethische bijsluiter Amsterdam,,61944129
MONOcam,Police,MONOcam is used by the police during traffic checks. MONOcam checks all passing drivers of (cargo) cars whether they have a mobile electronic device in their hand. ,Public Order and Safety,,In use,The aim is to increase road safety. MONOcam can be used to check whether drivers of cars and trucks have a mobile electronic device in their hands. The police use MONOcam during traffic checks. Drivers of cars and trucks who have a mobile electronic device in their hands are fined.,The advantage of MONOcam is that a check can be carried out by one person and clear pictures of violations are taken. The disadvantage is that an offender only gets the fine sent home later. So the offender is not personally addressed during or shortly after the offence.,The legal basis of MONOcam is described in Article 3 of the Police Act. MONOcam is used for enforcement of Article 5a(1k) of the 1994 Road Traffic Act.,1.0,,https://www.politie.nl/,nld,,Video recordings are used in the development of MONOcam. These recordings are deleted after use.,"The MONOcam system consists of a laptop and a video camera that provides high-quality images. In the images from the video camera, the MONOcam algorithm searches for number plates. For each licence plate found, the licence plate is read and the country the vehicle comes from is determined. For each licence plate, the corresponding windscreen is searched, of which only the driver's side is further viewed. In it, the algorithm looks for hands, mobile electronic devices and phone holders.If the algorithm sees a hand containing a mobile electronic device that is not in a phone holder, the photos are saved as possible offences.",MONOcam checks whether drivers of cars and trucks have a mobile electronic device in their hands. Possible violations are stored on a laptop and then reviewed by an employee. Data from disapproved violations are immediately deleted. Data from approved offences are forwarded to the police central computer and then deleted from the laptop.,"Recognised risks in the use of MONOcam are listed. Then, for each risk, we look at whether and how it can be addressed. The solution may, for example, be to provide additional explanation to users or to adapt something to the MONOcam system.",Internally developed,,"MONOcam, Police, R545, handheld calling, enforcement tool ",,2021-07,,,Impactful algorithms,"1: Politiewet, https://wetten.overheid.nl/BWBR0031788/2024-08-01/0/Hoofdstuk1/Artikel1/informatie. 2: Wegenverkeerswet, https://wetten.overheid.nl/BWBR0006622/2025-01-01#HoofdstukII",1: Data Protection Impact Assessment (DPIA),,21421626
Chatbot Wout,Police,"Based on the text entered by the user, the algorithm recognises what question or request the user has. Once this topic is recognised, a conversation starts. Conversations in the chatbot fall under so-called 'conversational AI'. It is therefore not generative AI, like ChatGPT.",Public Order and Safety,https://www.politie.nl/onderwerpen/wout.html,In use,"The aim of chatbot Wout is to make police services more accessible, user-friendly and less labour-intensive. Chatbot Wout can be found at www.politie.nl. Use of the chatbot is voluntary. For people who do not find this a convenient channel, the police will remain accessible in other ways. Use of the chatbot is anonymous. ","Chatbot Wout complements the police's already existing contact options. Its use is voluntary and several alternatives are available. For users, Wout brings no disadvantages. For the organisation, Wout offers benefits, such as a more efficient use of our staff. This is because Wout handles almost 80% of requests independently. Experience shows that the chatbot puts us in touch with a target group that otherwise would not have contacted us. This allows us to help more people while strengthening our information position. ",,1.0,,https://www.politie.nl/,nld,,The algorithm uses only the user's entered text. ,"Based on user input, words are recognised. By matching these words, the model identifies the user's needs. When the model has sufficient certainty, a pre-written conversation is offered to the user. This can lead to (1) an answer to the customer query, (2) the recording of a report which is then routed to the RSC, or (3) a live chat with a staff member at the RSC for more precarious issues. ","The interviews in Wout have been written by people and checked by experts. As a result, the quality of the content is high. Depending on the topic, the user is transferred directly to a live chat with a Regional Service Centre (RSC) employee. For sensitive topics, the model recognises only the topic, and the user is immediately connected to an employee. Training the model is done manually and is entirely human. ","Call quality is constantly monitored by improving training data and collecting feedback. Technically, Wout was built under police architecture principles. With this, it meets all set requirements. For this, a CIO approval has been issued, a GEB has been drawn up and periodic audits are done. ",Chatlayer / Sinch,,,,2022-02,,,Other algorithms,,1: Data Protection Impact Assessment (DPIA),,42276773
Tiresias,Police,This algorithm shields personal data in police data by automatically blinding vehicle windscreens. This is done when vehicle images are requested as part of an ongoing investigation. ,Public Order and Safety,,In use,"The aim of Tiresias is to protect the privacy of citizens. This is done by blinding the windscreen of a vehicle, making the occupants unrecognisable.","The police themselves took the initiative to automate the manual blinding of windscreens. This process was physically stressful for employees, time-consuming and proved less reliable on inspection. Automatic shielding saves time and ensures consistency. Since vehicle images are usually taken from the same angle, an algorithm can perform it efficiently and accurately. ","In the Code of Criminal Procedure (Section 126jj), the police are empowered to record the registration number, time, location and photograph of a vehicle on the public highway in certain cases and under specified circumstances. ",1.0,,https://www.politie.nl/,nld,,"The Tiresias algorithm is trained on images of vehicles, also known as ANPR (Automatic Number Plate Recognition) images. These images show the vehicle and its registration number, and sometimes people behind the windscreen. This depends on factors such as the time of day and light. ","A machine learning model determines which parts of the image should be blinded. This is done with a special algorithm (a neural network) that creates a 'mask' to mark the areas to be blinded (semantic segmentation). A UNET model [1] is used for this purpose, which is trained to accurately recognise areas such as vehicle windscreens. During training, the algorithm itself learns how to mark windscreens. The image is pre-adjusted to a size of 224x224 pixels (configurable) and the brightness is normalised. As a result, the model produces an image in which all vehicle windscreens are marked.After the algorithm is trained and it is applied, the algorithm does not continue to learn. It will then always give the same output at the same input.Notes for experts:* A UNET model with Resnet18 backbone is used. [2]* The model is trained with a combination of Binary Cross-Entropy (BCE) and Jaccard-loss.[3]Sources:[1] Ronneberger O, Fischer P, Brox T (2015). ""U-Net: Convolutional Networks for Biomedical Image Segmentation"". [2] He, Kaiming; Zhang, Xiangyu; Ren, Shaoqing; Sun, Jian (2016). Deep Residual Learning for Image Recognition. Conference on Computer Vision and Pattern Recognition.[3] MA Rahman and Y Wang (2016). Optimizing intersection-over-union in deep neural networks for image segmentation. International Symposium on Visual Computing.","The collaborator checks the work of the algorithm. All images are shown to the worker. If necessary, the worker can blind additional parts of the image, but not undo what has already been blinded. ","The entire windscreen is blinded instead of just the people behind it. This is easier and ensures that nothing behind the windscreen is visible, such as faces, clothing or other details. Only the vehicle and the registration number remain visible. ",The neural network is fully trained on its own data and does not use pre-trained open-source models.  The source code used to program this network comes from an open-source project. ,,"Blinding, privacy, Tiresias, ANPR, 126jj",,2022-10,,,Other algorithms,"1: Wetboek van Strafvordering - Titel VF. Vastleggen en bewaren van kentekengegevens - Artikel 126jj., https://wetten.overheid.nl/BWBR0001903/2025-01-01#BoekEerste_TiteldeelVF. 2: Besluit vaststelling nadere regels vastleggen en bewaren kentekengegevens ex artikel 126jj Wetboek van Strafvordering door politie., https://wetten.overheid.nl/BWBR0041691/2019-01-01",1: Data Protection Impact Assessment (DPIA),,83735846
Starting foreign companies for payroll taxes,Dutch Tax and Customs Administration,The algorithm 'Starting Foreign Companies for Payroll Taxes' helps Tax Administration staff to monitor correct and complete deduction and remittance of payroll taxes for foreign companies. The algorithm helps Tax Administration employees respond to potentially incorrect returns. ,Public finance,https://over-ons.belastingdienst.nl/onderwerpen/omgaan-met-gegevens/algoritmeregister/,In use,"The Tax Authority checks withholding agents for correct and complete declaration and payment of payroll taxes. Payroll taxes consist of wage tax, national insurance contributions, employee insurance and the income-related Healthcare Insurance Act contribution. Withholding agents (such as an employer, pension fund or benefits agency) deduct the wage tax and national insurance contributions from their employee's wages and pay them to the Tax Administration. The employee insurance contributions and income-dependent Healthcare Insurance Act contribution are not deducted from the employee's wage, but are paid by the employer to the Tax Administration.  The 'Starting foreign companies for Payroll Taxes' algorithm (hereafter: the Starters algorithm) looks at companies that are established abroad and carry out activities in the Netherlands, as a result of which they are obliged to file payroll tax returns in the Netherlands.The Algorithm Starters helps Tax Authorities staff monitor compliance with filing a correct payroll tax return. It is designed to target foreign companies starting up and employing employees living and/or working in the Netherlands. The algorithm looks for foreign companies where there may be a higher risk of filing an incorrect wage tax return. The algorithm leads to supervision of foreign companies starting work in the Netherlands. The adverse consequences of an incorrect return include the following:The company pays too little payroll taxes. Errors made in the returns are not corrected and keep coming back.Unnecessary additional tax assessments and fines may be imposed.Incorrect employee details are declared, with possible consequences for benefits. The Starters algorithm combines different types of data to detect indications of situations where there may be a potentially incorrect declaration. Based on the indications from the algorithm, the processor will assess the first wage declarations on certain points. This assessment will take place in different ways, depending on what is found in these wage returns. It is the Tax Administration's handler who ultimately determines whether the wage declarations contain inaccuracies. ","The Starters algorithm is important in supporting Tax Administration staff in supervising foreign start-ups that have to file payroll tax returns in the Netherlands for the first time. As a result, the assessment is more careful, efficient and unambiguous. The algorithm contributes to the systematic and accurate checking of returns. With this algorithm, the Tax and Customs Administration can deploy supervisory capacity more efficiently. The use of the algorithm increases the chances of approaching the right business for an interview or investigation. Through the results from the algorithm, the Tax and Customs Administration can also act proactively through, for example, additional information. ",General State Tax ActGeneral Administrative Law ActGeneral Data Protection RegulationGeneral Data Protection Regulation (Implementation) ActPayroll Tax Act 1964Social Insurance (Funding) ActBasic Social Security Regulation 883/2004Social Security Implementing Regulation 987/2009General provisions Citizen Service Number ActArchives Act 1995,1.0,https://over-ons.belastingdienst.nl/onderwerpen/omgaan-met-gegevens/algoritmeregister/algoritme-startende-buitenlandse-ondernemingen-voor-loonheffingen/,algoritmeregister@belastingdienst.nl,nld,,Identifying data (including BSN)Identifying company data (including tax number)Payroll tax return data,"The algorithm consists of selection rules created by content experts based on laws, regulations and expertise. The algorithm is not self-learning. That means it does not evolve as it is used.",Human intervention in the Tax Administration context implies that a competent and knowledgeable employee plays a substantial role in decision-making. The operation of the algorithm always involves human intervention. The algorithm detects and selects. It is the Tax Administration employee who makes the decision whether to contact the withholding agent.,"Selection rules in the algorithm are tested against non-discrimination laws. Processing as little personal data as possible reduces the risk of direct discrimination. Employees involved in developing and managing the algorithms receive training on data protection and bias. There are no rules in the algorithm that use the personal data present, it only tests for the objective tax data present. By doing so, the Inland Revenue prevents any possible discrimination from using the algorithm.The General Administrative Law Act (Awb) requires the government's actions to be transparent and lawful. The Tax and Customs Administration observes the general principles of proper administration when applying and developing algorithms.The algorithm uses data collected under various tax laws. As required by the AVG, no more data is used than necessary.The use of the data is tested against the General Data Protection Regulation (AVG). The testing of personal data highlights any privacy risks and appropriate measures can be taken. The AVG prescribes that no more data should be used than necessary. This is called data minimisation. The Tax Administration regularly examines whether the data used are still necessary and can therefore be used. The algorithm Starters does not use any special personal data.The selection rules are reviewed periodically and adjusted if necessary to remain in compliance with laws and regulations.",The algorithm was developed by Tax Administration staff and is also maintained internally. ,,,,,,,Impactful algorithms,"1: Algemene wet inzake rijksbelastingen, https://wetten.overheid.nl/BWBR0002320/ . 2: Algemene wet bestuursrecht, https://wetten.overheid.nl/BWBR0005537/ . 3: Algemene verordening gegevensbescherming, https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32016R0679 . 4: Uitvoeringswet algemene verordening gegevensbescherming, https://wetten.overheid.nl/BWBR0040940/ . 5: Wet op de loonbelasting 1964, https://wetten.overheid.nl/BWBR0002471/ . 6: Wet financiering sociale verzekeringen, https://wetten.overheid.nl/BWBR0017745/ . 7: Basisverordening Sociale zekerheid 883/2004, https://eur-lex.europa.eu/legal-content/NL/TXT/PDF/?uri=CELEX:02004R0883-20190731. 8: Toepassingsverordening sociale zekerheid 987/2009, https://eur-lex.europa.eu/legal-content/NL/TXT/PDF/?uri=CELEX:32009R0987&from=NL. 9: Wet algemene bepalingen Burgerservicenummer, https://wetten.overheid.nl/BWBR0022428/ . 10: Archiefwet 1995, https://wetten.overheid.nl/BWBR0007376/  ",,"1: Identificerende gegevens , Basisregistratie Personen (BRP). 2: Identificerende bedrijfsgegevens , Kamer van Koophandel. 3: Aangiftegegevens Loonheffingen, Belastingdienst",97494573
Spheer.ai,Province of Groningen,"Using satellite photos to identify differences in vegetation, for the purpose of monitoring nature. This is done in nature reserves and rural areas.",Nature and Environment,,In use,"Use for nature monitoring, identify differences in vegetation. In nature reserves, but also in rural areas. For example, in a large reed field, selections can be used to see what is real reed and what is different.","No personal data are processed, but livestock numbers, for example. There is an efficiency advantage to using satellite photos for this instead of physical visual checks.",Nature Protection Act,1.0,,info@provinciegroningen.nl,nld,,Satellite photos,Recognition and identification of differences in vegetation using satellite photographs.,The outcomes of the monitor are continuously tested with physical checks.,Physical checks are used to verify the accuracy of the monitor results. The risk is therefore limited.,Spheer.ai,,,,2023-07,,,Other algorithms,,,,76244490
