name;goal;goals_score;Justification;methods_and_models;logic_score;Justification;risks;risks_score;Justification
income settlement assistance (oib) signal;"Does someone have an assistance benefit and also income from work or another benefit?Then, according to the Participation Act, this income must be offset against the social assistance benefit. Sometimes this income even has to be repaid.The Income Settlement Assistance (OIB) signal helps municipalities with this. It provides insight into extra income of people with social assistance benefits. Municipalities can thus ensure that:all extra income (including corrections) is known;the correct amount is deducted from the benefit.With this information, municipalities can work faster. For people on welfare benefits, the advantage is that they can better estimate how much income they have. They are also less likely to have to repay money.";2;Specific, contextualized purpose with clear policy objective. ;"Provision to municipalities (F):- BSN- gsd code- File code- Household type- Legal basis- start-date-ukp- end-date-ukp- start-date-ikv- end-date-ikv- lb number- adm unit-name- liable to income (type of employment contract)- Compulsory income description- type-income relationship- type-income-relationship-description- start-date-lp- end-date-lp- paid-hours- pay-sv- pay-in-money- value-not-paid-in-money- inh-svp premium- inh-svvpremium-normal- inh-svvpremium-special- value-use-car- inh-lbph- wage-lbph- Inh-WGA/WHK-ind- Inh-WGA-WHK-ind-normal- Inh-WGA-WHK-ind-normal- wage-lbph-normal- wage-lbph-special- inh-lbph-normal- inh-lbph-special- net wage-subtotal- net wage-normal- net-wage-subtotal- net ANW benefit- net ANW- income-net-ind-excl-claim-vt- ind-claim vt- income-netind-incl-claim-vt- income-netind-special- holiday allowance-paid- holiday allowance accrued-right- accrual-awwb- take-up-awvb- net-wage-ind-vt- net-wage-ind-avwb- ind-loonhk- applied payroll tax table- applied-wage-tax-table-sort-table- applied-payroll tax table-colour table- applied-payroll tax table-payroll period- applied-wage-tax-table-special-significance- ad-unit-address- ad unit-postal code- ad-unit-location- TagSignal type- TagMultipleIKV- TagAlternativeCalendar month- TagBenefitsPayment- TagStartStopPayment- TagWageInNature- TagCalculateBT- TagFirstPensionPayment- TagManualCalculation- TagPrivateUseCarExplanation:A. The municipality's benefit file;B. The application to UWV based on the municipality's benefit file;C. The delivery of UWV's file of Citizen Service Numbers (BSN) with data on income, pensions and/or benefits;D. Annually, the IB retrieves the following additional (indexed) data.- The percentage to be determined annually by which the wage to be offset may be reduced on the basis of indicative WGA/WHK withholding (this percentage is based on the average WGA levy percentage published annually by the UWV, which is multiplied by factor 3). 50% of this then applies as a percentage deduction WGA/WHK from net salary.- Height of fixed amount of ANW benefit (source: SZW, Decree on ANW benefit)- The level of the fixed amount of the Young Disabled Persons Allowance (source: Tax and Customs Administration)- Tables holiday allowance entitlement (source: SZW, Regulation Participation Act, art. 11-13)- Payroll tax tables per year (source: Belastingdienst)NB. These are public (publicly accessible) data, they are not personal data.E. The IB compares the response file received by UWV with previous month and applies logic to only provide municipalities with new and/or wage bill changed income statements, enriched with a net indicative (normal and special) income calculated by IB that is as close as possible to the amount to be deducted from benefits in accordance with the Participation Act. The response report also contains all the amounts used to calculate this income. Finally, information labels (tags) are given so that the information can be processed as efficiently as possible by the municipality. The signal information is stored (temporarily) within national facility within the IB;F. Of the new and/or changed income declarations found, the IB issues a signal to the municipality.";2;The logic, input data and model type are clearly described. ;Citizen privacy is a major concern. That is why we periodically check whether there are risks and what can be done about them. This is called privacy impact assessment (PIA).;1;Mentions privacy risk, but not specifying the context. 
citizen affairs e-services;"The aim of the e-services with the underlying algorithm is to provide maximum support/ guidance to residents and entrepreneurs when submitting a digital application. As a result, this application can be submitted correctly and completely. The algorithm checks various data of the resident. If no additional data is required from the resident and no manual actions or checks by the municipality are required (such as signature, for example) to process the application, it can be processed without the intervention of a civic affairs officer. However, if additional data, checks or actions are required, the application/declaration always enters a work list. There, it is checked by a civil affairs employee. The algorithm can only automatically approve an application/declaration. Only the civil affairs officer can reject an application/declaration.The impact is that such an application can be dealt with efficiently by the municipality; after all, a resident/company has already carried out several steps (work), leaving the official more time for the special and/or complicated declarations/applications the municipality receives. In some cases, this application can even be processed fully automatically. The quality of service goes up because of these services, as does the quality of the data in the BRP.";2;Specific, contextualized purpose with clear policy objective. ;Through the municipality's website, a resident or entrepreneur can start an e-service. Each application is already checked against the laws and regulations applicable to the application while it is being filled in. A fully completed digital application/declaration is placed on the work list in iBurgerzaken for assessment and processing by a civil affairs employee. When an application or declaration is opened on the worklist, it is visible to the civil affairs employee which check a notification has produced, for correct assessment and processing. For a number of digital applications, a municipality can choose whether iBurgerzaken, may process them automatically without the intervention of a civil affairs employee. iBurgerzaken processes an application fully automatically if no check results in a warning. In addition, the municipality can also choose in which situations the application always appears on the work list for assessment and processing. For example, in Relocation within the Netherlands: if there is overcrowding at the new address.;2;Explains input and process. Model type not stated but logic is described. ;See human intervention. In case of a rejection, it is always the civic affairs officer who does it and never the algorithm.;1;Risks are not explicitly stated. 
sounding language;" Improve texts in clear &amp; understandable language. Better communication to citizens and businesses.";1;General purpose stated without specific context or policy objective. ;The Sounding Language application is a plug-in in Word. It only checks the written text for grammar and writing style at the explicit request of the author in order to convert it to B1 level. It checks on the basis of 6 basic modules: Expensive words, technical terms, passive sentences, long sentences, complex sentences and long paragraphs.;2;Explains input and process. ;Klinkende Taal does not use generative AI. For the deployment of this particular tool, the Osse principles for using generative AI apply and should be followed.;1;Risks not explicitly mentioned. 
calculation method decline in value;Purpose: To calculate the amount of compensation the IMG should pay out for a property for which a depreciation allowance has been applied for.Impact: The property's WOZ value and sale price are important for the depreciation compensation. In addition, the location of a property and the quakes that have occurred in this area over the years are considered. Based on all this data, the algorithm calculates the decrease in value of a property. ;2;Specific, contextualized purpose with clear policy objective. ;All postcodes within the valuation area have been classified into severity categories. The severity category is determined by the quake history within a postcode area. For the calculation of the decrease in value, the WOZ value of the property serves as a starting point. Once the severity category of the property has been determined, compensation is calculated on the basis of a severity category matrix and a compensation matrix.;2;Explains input data and logic clearly. Model type also mentioned. ;We evaluate the risks in accordance with our privacy policy. Based on this evaluation of, we take or adjust additional measures. The next update for the risks of this algorithm is scheduled for in Q4 2024.;1;No risks explicitly mentioned. 
input help business activities 2.0;The goals are:1. The registration of a sole proprietorship for start-ups has been extended with the Input Help. This allows the start-up to independently prepare a unified, structured activity description through question-and-answer with artificial intelligence.2. Simplify the translation of business activities into SBI codes for the KVK employee. Because the supplied texts are of higher quality and suggestions for appropriate SBI codes are made, classification can be faster and easier and the registration interview can be about starting the business.;2;Specific, contextualized purpose with clear policy objective. ;Entrepreneur completes activity descriptionA spell check is performedInput help checks whether there are multiple activities in the description Activity description is classified and shows 3 most appropriate SBI code (with certain certainty) for the branches construction, web shops and health careFor the other branches, the entrepreneur gets a short description of the proposed/classified SBI code (summary of the data from CBS). This is followed by a question to check whether this is correct. If yes: entrepreneur continues with own activity descriptionEntrepreneur is still free to modify the proposed activity description.;2;Input data and logic are mentioned. ;There is no automated decisionThere is no processing of personal dataThe process is monitored for Customer Satisfaction (CSAT) and Customer Effort Score (CES);1;No risks explicitly mentioned. 
population forecast model;The aim is to understand the (possible) future development of The Hague's population by age.The model has no direct impact on citizens' daily lives. ;2;Specific, contextualized purpose with clear policy objective. ;Based on the assumption of the (corrected) probabilities, the forecast for the first year by age and sex is prepared by first determining the correction for domestic departure, after which the total departures domestic and foreign are determined. To then determine the number of births, first settlement, departure, both domestic and foreign, and mortality are calculated, after which the total number of births can be calculated. Once the number of births is calculated, these are zeroed out and divided by sex. The process then determines departures again, inflows and deaths. The final step is the initial population by age and sex plus settlement by age and sex minus departure by age and sex minus mortality by age and sex. This last cycle yields the final population of the first forecast year. This population is the starting population of the second forecast year. In this way, the forecast is calculated the set number of years ahead. Using the correction matrix, it is possible to recalculate the forecast with a changed assumption.;2;Input data, logic and model type clearly described. ;Results of the model are always analysed by specialists. Annually, the results of the forecast are compared with the realisation.;1;No risks explicitly mentioned. 
dido;DiDo (Data in Data out) is about fast and automated reading of tables from suppliers into the Operational Data Layer (ODL) of a Postgres database. The ODL aims to organise uniform and reliable storage of the data provided by data suppliers. The supplier provides one-off or more frequent tables in .csv format (separated by semicolons). Those tables are read into Postgres based on a configuration file. Documentation is also generated that can be included in the project's wiki.;2;Specific, contextualized purpose with clear policy objective. ;DiDo facilitates the user in storing data in the Datawarehouse and creating documentation on that data. DiDo has two phases: Data and Documentation Definition. This is (in theory) a one-off event in which the data is defined according to a set pattern, stored in Postgres tables and filed away as Wiki documentation.Reading data into the database. Once the tables are defined, the data can be delivered. Deliveries are stored in the table, along with the data quality. The delivery is documented and can be stored in the Wiki.  There are also a number of utilities that simplify dealing with suppliers and deliveries in the database.  ;2;Input data and decision logic clearly described. ;Risk management is covered by MinBZK's standard Responsible Disclosure Statement, available at https://github.com/MinBZK/DiDo/security.;1;No risks explicitly mentioned. 
text analysis;Support in the review process where legal protections apply to information disclosed. Protection from the AVG (persons) and Woo laws (especially company confidential), where grounds for exception are named.;2;Specific, contextualized purpose with clear policy objective. ;Texts are recognised on the basis of Named Entity Recognition (NER) and a process within Insights extracts the names for further processing towards the management interface and the automatic lacquer rules. ;2;Input data and model type clearly described. ;There is no risk of automated decision-making and the algorithm has no impact on fundamental rights because the algorithm does not make decisions with legal consequences. It only makes a proposal for anonymising personal data. The municipal employee always makes the final check whether a document is correctly anonymised. ;1;No risks explicitly mentioned. 
textimprovementtool;Texts are published by employees. The functionality helps staff to produce texts that are understandable to citizens. ;1;General purpose stated without specific context or policy objective. ;As an employee, you can enter a text and then get a suggestion for a better text at the press of a button. The tool corrects language mistakes, changes the language level (A2, B1 and so on), makes suggestions for titles and can make other improvement suggestions.;2;Input and process are clearly described. ;;0;Field left empty. 
risk indicators money laundering properties;In practice, it happens that Utrecht properties are used for laundering criminal assets. By applying this algorithm, we want to gain insight into the risk of real estate being used for money laundering. With the aim of preventing and enforcing money laundering of (criminal) money as much as possible. The analysis reveals what proportion of real estate per neighbourhood was purchased with unexplained assets. ;2;Specific, contextualized purpose with clear policy objective. ;;0;Field left empty. ;The Utrecht data scientists, Information and Process Advisors (IPA) and Decentralised Information Security Officers (DISO) within the Utrecht municipality have a controlling and monitoring role in the application of the algorithm, in addition to the employees directly involved. By doing so, we want to prevent the following risks from occurring:- data leak by making personal data of Utrecht residents publicly available- algorithm takes a decision completely independently, without the intervention of an employee and without interpreting the relevant context of the situation- 'function creep' regarding data when applying the algorithm, causing the algorithm to give a distorted picture of what is going on. This can occur because the same type of data is used when applying the algorithm, and the algorithm uses that as confirmation of what comes out as information;2;Risks explicitly mentioned and contextualized. 
centric environment: charges calculation;"
Objective:
Fees are fees for municipal services. Fees are set by the municipal council and are contained in the Fees Ordinance. To levy fees, we determine base types and fee types. Fees are calculated on a basis. The base type determines where the base for the fee calculation can be found. 
 
We use Centric Environment software to process all our permit applications (including supervision and enforcement). This includes, for example, a (permit required) renovation, an environmental permit or a parking permit. 
 
Impact : 
The fee amounts for these applications are calculated on the basis of calculation rules entered by the municipality in Centric Environment. 
";2;Specific, contextualized purpose with clear policy objective. ;The algorithm calculates what fees are applicable based on the data in the application.  The employee then does a check and after this we send the invoice. ;1;Process vaguely described. ;The risk of erroneous dues amounts being charged is zero due to the combination of the algorithm with human intervention. ;1;Risks are vaguely mentioned. 
detect risks on goods infringing intellectual property rights;This algorithm focuses on declarations of goods entering or leaving the European Union, via the territory of the Netherlands. The algorithm focuses on Customs checking whether the goods infringe intellectual property rights. Regulation 608/2013 sets out how Customs acts. The regulation includes the conditions for action by Customs when goods are only suspected of infringing intellectual property rights and what measures should be taken against goods found to infringe.Based on the results, Customs will inspect companies more, or less. By using this algorithm, declarations are handled more efficiently, resulting in quicker checks and possibly quicker releases.;2;Specific, contextualized purpose with clear policy objective. ;The algorithm consists of decision rules created in collaboration with content experts. These decision rules provide estimates of which declarations have a higher risk of infringing intellectual property rights. These decision rules are based on 'if-then-else' combinations. An example: if (if) the information we have on a shipment shows that the goods have an abnormal weight, (then) the declaration is checked manually and the shipment may be selected for extended inspection. If the goods do not have an abnormal weight (else), we do not stop the shipment. Or at least not based on this criterion.;2;Process and logic clearly described.;A risk profile is always developed and checked by at least two customs staff before use. This is the 4-eye principle. And once the profile is in use, the number of declarations that produce a match is checked periodically for a profile. If necessary, the profile can be adjusted. Annually, Customs evaluates per profile whether it is necessary to refine, extend or terminate it. Customs monitors internal and external complaints and incidents, for example if a profile generates unjustified raking and therefore designates too many declarations as higher risk.;2;Risks are clearly stated. 
advising on data breach notification;The algorithm helps objectively determine whether a data breach should be reported to the Data Protection Authority and to data subjects.;2;Specific, contextualized purpose with clear policy objective. ;Step 1: The algorithm works for all kinds of countries around the world. A jurisdiction is chosen (the Netherlands). For the Netherlands, the rules as drawn up by the Personal Data Authority (AP) are considered.Step 2: An employee indicates in the system whether there was actually an incident where personal data was leaked.Step 3: An employee indicates the likelihood of harm to data subjects.Step 4: And employee indicates the extent of the impact to data subjects. Based on this information, it is determined whether the AP should be informed (if there is a chance of harm) and whether data subjects should be informed (if the impact for data subjects is high).Based on the advice, tasks are proposed for the employee to perform. If the employee is not going to perform the task, a reason must be given in the system.;2;Logic and process clearly described. ;No personal data will be processed. ;1;No risks explicitly mentioned. 
detect tax risks in customs declarations until placement under a special procedure;The purpose of this algorithm is to more efficiently select which declarations may have been incorrectly completed. This algorithm focuses on declarations to placement under a special procedure and looks at declarations of goods coming from outside the European Union. It indicates which declarations have a higher risk of fraud or incorrect data. Customs checks companies more or less based on the results. By using this algorithm, declarations are processed more efficiently, resulting in quicker checks and possibly quicker release.;2;Specific, contextualized purpose with clear policy objective. ;The algorithm consists of decision rules created in collaboration with content experts. These decision rules provide estimates of which declarations have a higher risk of fraud or incorrect data in declarations to placement under a special regime. These decision rules are based on 'if-then-else' combinations. An example: if (if) the information we have on a shipment shows that the goods have an abnormal weight, (then) we manually check the declaration and the shipment may be selected for extended inspection. If the goods do not have an abnormal weight (else), we do not stop the shipment. Or at least not based on this criterion.;2;Logic and process clearly described. ;A risk profile is always developed and checked by at least two customs staff before use. This is the 4-eye principle. And once the profile is in use, a weekly check is made for a profile to see how many declarations produce a match. If necessary, the profile can be adjusted. Periodically, Customs checks per profile whether it is still necessary to refine, extend or terminate it. Customs monitors internal and external complaints and incidents, for example if a profile is insufficiently specific and therefore designates too many declarations as higher risk.;2;Risks are clearly stated and contextualized. 
aibobjection;The aim is to process objection letters efficiently and accurately. Optionally by using a large language model to automatically parse and categorise the letters, allowing them to be entered quickly and correctly. Improving efficiency and accuracy in the processing of objection letters, enabling faster responses to submitted objections. This has a positive impact on customer satisfaction and operational efficiency of the relevant government agency or organisation.;2;Specific, contextualized purpose with clear policy objective. ;The system optionally uses a large language model to automatically parse and categorise the content of grievances. The large language model analyses the text, identifies the main grievances and enters them into the appropriate categories in the system. This process also includes automatic input of relevant data into the administration system, minimising manual input.;2;Model type and process is described. ;Potential inaccuracies in automatic processing and categorisation to be mitigated by human control and continuous model improvement.;2;Risks are explicitly defined. 
