name,goals_score,goals_justification,logic_score,logic_justification,limitations_score,limitations_justification
Detect risks in customs declarations for compliance procedures for transport of dangerous goods,2,"The goal is specific and contextualized, aiming to efficiently select riskier declarations for the transport of dangerous goods based on historical checks and other factors.",2,"The logic is clearly explained, detailing the use of decision rules created with content experts to estimate risk based on factors such as previous shipments, warnings, sanctions, and compliance.",2,"The limitations are explicitly described, including the need for a second officer to check a risk profile, weekly checks on profile matches, potential adjustments to profiles, and monitoring of complaints and incidents."
Detect risks in customs declarations for authorisation duty on hazardous substances in equipment,2,"The goal is specific and contextualized, stating that the algorithm is used to efficiently select customs declarations that may relate to the import of goods containing dangerous substances.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, including decision rules and 'if-then-else' combinations.",2,"The risks section explicitly describes the measures taken to mitigate risks, such as the 4-eye principle, weekly checks, and adjustments to the profile if necessary, indicating an awareness of potential limitations."
Detecting risks in customs declarations for chemical licensing compliance,2,"The goal is specific and contextualized, aiming to efficiently select declarations that may pose a risk of non-compliance with the authorisation requirement of the REACH regulation.",2,"The logic is clearly explained, detailing the use of decision rules created with content experts to estimate which declarations have a higher risk of non-compliance, and providing an example of the 'if-then-else' combinations used.",2,"The limitations are explicitly described, mentioning the 4-eye principle, weekly checks, potential adjustments, and monitoring of complaints and incidents, indicating awareness of the system's potential shortcomings."
Efficient selection of risk-sensitive declarations under the prevention of misuse of chemicals act,2,"The goal is specific and contextualized, aiming to efficiently select risk-sensitive declarations under the prevention of misuse of chemicals act, focusing on the import and export of chemicals from outside the EU.",2,"The logic is clearly explained, detailing the use of decision rules created with content experts to estimate which declarations have a higher risk of importing and exporting unlicensed chemicals, with an example provided.",2,"The limitations are explicitly described, mentioning the 4-eye principle, weekly checks, potential adjustments, and monitoring of complaints and incidents, indicating awareness of the system's potential shortcomings."
Detect risks in customs declarations when complying with import and export procedures of chemicals,2,"The goal is specific and contextualized, with a clear policy objective of efficiently selecting risk-sensitive declarations in the context of enforcing the pic regulation for the import and export of chemicals.",2,"The logic is clearly explained, with a description of the decision rules used, an example of how these rules work, and the process of how declarations are selected for inspection based on these rules.",2,"The limitations are explicitly described, with a process for checking and adjusting the risk profile, monitoring complaints and incidents, and refining the profile as necessary."
Detect risks in customs declarations for compliance with import and export ban of Mercury Regulation,2,"The goal is specific and contextualized, with a clear policy objective of efficiently selecting risk-sensitive declarations in the context of enforcing the mercury regulation.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, using decision rules to estimate which declarations have a higher risk of exporting and importing mercury-containing substances.",2,"The risks section explicitly describes the limitations of the algorithm, including the need for a second customs officer to check the risk profile, the need for weekly checks and potential adjustments, and the monitoring of complaints and incidents."
Detecting risks in customs declarations waste shipment regulation,2,"The goal is specific and contextualized, stating that the algorithm is used to efficiently select potentially risky declarations in the context of waste materials import and export.",2,"The logic is clearly explained, detailing the use of decision rules created with content experts to estimate which declarations have a higher risk of waste export and transit, with an example provided.",2,"The limitations are explicitly described, mentioning the process of risk profile development, weekly checks, potential adjustments, and monitoring of complaints and incidents."
Anonymise,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm, and the involvement of a staff member for final checks.",2,"The limitations are explicitly described, including the risk of employees not checking properly, the privacy risk of using Azure, and measures taken to mitigate these risks."
AERIUS - Computing tool for the living environment,2,"The goal is specific and contextualized, detailing the various modules of the AERIUS tool and their respective purposes, such as calculating nitrogen deposition, monitoring nitrogen load, allocating nitrogen deposition space, and supporting subsidy schemes.",2,"The logic is clearly explained, detailing the models used (OPS-long term and SRM2) and their purposes in calculating airborne concentrations and nitrogen deposition, and the dispersion of short-range traffic emissions.",1,"The entry mentions risk management and quality management plans, but does not specify the nature or context of these risks or limitations."
Anonymise,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm, and the involvement of a staff member for final checks.",2,"The risks and limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
"Secure mail using business rules, DLP algorithm",2,"The goal is specific and contextualized, stating that the algorithm is designed to support users in sending sensitive information securely and efficiently, with details on how it affects the process of sending emails and attachments.",2,"The logic is clearly explained, detailing the process of how the algorithm works, the input fields it focuses on, and how this data forms the input for the algorithm's operation.",2,"The limitations are explicitly described, mentioning the risks of typos, the algorithm's inability to recognize them as a form of PII, and the potential for PII to not be picked up in large files."
Anonymise,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the role of human oversight.",2,"The limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
"Secure mail using business rules, DLP algorithm",2,"The goal is specific and contextualized, stating that the algorithm is designed to support users in sending sensitive information securely and efficiently, with details on how it affects the process of sending emails and attachments.",2,"The logic is clearly explained, detailing the inputs (sender, recipient(s), subject, e-mail message and attachments) and the process of how the algorithm detects sensitive information and warns the user.",2,"The limitations are explicitly described, mentioning the risks of typos and the algorithm's inability to recognize them as forms of PII, and the limitation of reading only the first 1024 kb of files, which may result in PII in large files not being detected."
iCitizenship e-services,2,"The goal is specific and contextualized, outlining the purpose of the e-services and the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and the subsequent process of checking and approval.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how a resident or entrepreneur can start an e-service, how applications are checked against laws and regulations, and how they are processed by a civil affairs employee or automatically by the system.",1,The risks section mentions risk management but does not specify the nature or context of the risks or limitations.
iCitizenship e-services,2,"The goal is specific and contextualized, outlining the process of providing support to residents and entrepreneurs in submitting digital applications, and the subsequent steps taken by the algorithm and municipal officers.",2,"The logic is clearly explained, detailing the process of how a resident or entrepreneur can start an e-service, how the application is checked against laws and regulations, and how it is processed by a civil affairs employee or automatically by the system.",1,"A limitation is vaguely mentioned, stating that it is up to municipalities to shape risk management and configure e-services, but does not specify the nature or context of the risks."
IJsselassist (Chatbot),1,"The goal is stated as 'service expansion' and the chatbot's function is described, but there is no specific policy objective mentioned.",2,"The process is clearly explained, including the use of artificial intelligence to select the most applicable answer from the website information, and the use of a large language model to form linguistically correct responses.",1,"A potential risk of outdated information is mentioned, but it is not explicitly described how this could impact the system's performance or accuracy."
Detect risks in customs declarations for compliance with licensing requirements for arms and ammunition,2,"The goal is specific and contextualized, with a clear policy objective of improving efficiency in selecting declarations that may pose a risk of non-compliance with the permit requirement for weapons and ammunition.",2,"The logic is clearly explained, with a description of the decision rules used, the process of how these rules are applied, and an example provided for better understanding.",2,"The limitations are explicitly described, with a detailed explanation of the risk management process, including the 4-eye principle, weekly checks, and adjustments as necessary."
Efficient selection of declarations for licensing under the medicines act,2,"The goal is specific and contextualized, with a clear policy objective of efficiently selecting which declarations may be subject to licensing under the medicines act, focusing on the import of medicines from outside the EU.",2,"The logic is clearly explained, with inputs, process, and model type described. The algorithm uses decision rules based on 'if-then-else' combinations to estimate which declarations have a higher risk of importing unlicensed drugs.",2,"The limitations are explicitly described, with a process for developing and checking risk profiles, monitoring matches, and adjusting profiles as necessary. It also mentions potential issues with profiles being insufficiently specific and designating too many declarations as higher risk."
Detect risks of compliance with licensing requirement for explosives precursors by private individuals,2,"The goal is specific and contextualized, aiming to efficiently select which declarations may fall under the licensing requirement by private individuals in the context of explosives precursors.",2,"The logic is clearly explained, detailing the use of decision rules created in cooperation with content experts to estimate which declarations have a higher risk of introducing and possessing raw materials that can be misused for the illicit manufacture of explosives.",2,"The limitations are explicitly described, mentioning the risk of a profile generating unjustified raking and designating too many declarations as higher risk, and the measures taken to mitigate these risks."
Dutch Algorithm Register Entry,0,The goal field is vague and does not state a specific purpose or policy objective.,0,"The methods and models field is blank, providing no explanation of how the system works.",2,"The risks field explicitly describes the measures taken for risk management around generative artificial intelligence, including existing policies, guidelines, and training."
Civil affairs: eServices,2,"The goal is specific and contextualized, outlining the importance of correct address registration and how the algorithm checks details and processes applications.",1,"The method is mentioned as 'decision trees', but there is no clear explanation of inputs, process, and model type.",2,"The risk of an applicant mistakenly failing to submit an application due to system-created expectations is explicitly described, along with the mitigation strategy."
Calculate care allowance,2,"The goal is specific and contextualized, outlining the purpose of the algorithm in the process of granting care allowance to citizens.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, including the use of data, the AWIR, and the application of reasonableness checks.",2,"The risks section explicitly describes the measures taken to manage risks, ensure compliance with laws and regulations, and protect privacy. It also mentions the potential for manual intervention if the algorithm cannot automatically assess an application."
Traffic Compliance Check,2,"The goal is specific and contextualized, stating the purpose of the application is to check compliance with traffic restrictions in order to improve air quality and encourage sustainable transport. It also outlines the impact on citizens.",2,"The logic is clearly explained, detailing the process from capturing license plates with cameras, enriching the data, analyzing vehicle access, and the subsequent enforcement process if a violation is detected.",0,No risks or limitations are mentioned in the provided text.
TVL Risk model,2,"The goal is specific and contextualized, aiming to accelerate decision-making for entrepreneurs to receive liquidity support on time.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, with no limitations or risks mentioned."
Child Budget Allocation,2,"The goal is clearly stated with a specific context and policy objective, which is to ensure fast, efficient, and consistent granting of entitlement to the child budget.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the child budget is calculated and granted based on various factors and data from different sources.",2,"The risks section explicitly describes the safeguards in place for algorithm development, data protection, and prevention of unauthorized profiling, as well as the rights of citizens to access and amend their information."
Calculate childcare allowance,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to efficiently and consistently grant the right to childcare benefit for about 0.7 million households and allow applicants to view the latest version of the childcare benefit calculation.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, including the use of data and the awir to calculate the right to and the amount of childcare benefit, and the application of reasonableness checks.",2,"The risks section explicitly describes known risks and safeguards, including compliance with the general data protection regulation (avg), data minimisation, prevention of unauthorized profiling, and citizens' right of access to their information."
Calculate rent allowance,2,"The goal is specific and contextualized, outlining the purpose of the algorithm in the process of granting rent allowance, including the number of households it affects, and the process of calculation and adjustment throughout the year.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, including the use of the Rent Benefit Act, the AWIR, and the process of final settlement, as well as the use of reasonableness checks and manual intervention when necessary.",2,"The risks section explicitly describes the safeguards in place for algorithm development, the compliance with laws and regulations, the use of data minimization, the prevention of unauthorized profiling, and the rights of citizens to access and amend their information."
