name,goals_score,goals_justification,logic_score,logic_justification,limitations_score,limitations_justification
Detect risks in customs declarations on imports of GPS and GSM jammers,2,"The goal is specific and contextualized, focusing on improving the efficiency of customs checks for non-compliant or dangerous devices entering the Netherlands through the EU, with a clear policy objective based on regulation 765/2008.",2,"The logic is clearly explained, detailing the use of decision rules created with content experts to estimate the risk of certain declarations, with an example provided for clarity.",2,"The limitations are explicitly described, outlining the process of risk profile development, periodic checks, and potential adjustments, as well as the monitoring of complaints and incidents."
The information question Age in the BRP API Persons,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to provide targeted information to organisations using the BRP, achieving data minimisation, preventing errors, increasing transparency, and saving costs.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, including how the age is calculated based on the date of birth and the conditions under which the age is not supplied.",2,"The risks section explicitly describes known risks such as errors in processing, difficulty in verification and correction by the data subject, repeating errors, changing calculation rules without following procedures, fragmented assessment of effects, and automated decision-making without human intervention, and how these risks are mitigated."
Traffic information system,1,"The goal is stated generally as collecting and providing traffic information and regulating traffic, but lacks specific context or policy objective.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, with no limitations or risks mentioned."
e-services for residents and entrepreneurs of the municipality of ede,2,"The goal is specific and contextualized, aiming to provide maximum support to residents and entrepreneurs of the municipality of ede when submitting a digital application, improving efficiency and quality of service.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how applications are checked against laws and regulations, assessed by a civil affairs employee, and in some cases, processed automatically.",1,"The risks section mentions risk management and privacy and information security, but does not specify any particular risks or limitations of the algorithm itself."
Zivver,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that information sent by email is properly secured.",2,"The process is clearly explained, including inputs (terms in the message and attachments), process (comparison with previously sent emails and classification based on terminology), and model type (recommendation system).",1,"The risks are mentioned, but they are vague and do not specify the nature or context of the risks, only that incorrect classifications can be adjusted."
Microsoft CoPilot,1,"The goal is general and lacks a specific context or policy objective, it only mentions that the system will support the organisation's employees in their daily work.",0,"The methods and models field does not provide any explanation of how the system works, it only refers to an external source for information.",1,"The risks field mentions that the processed data remains within the organisation's environment and all output is reviewed by an employee, but it does not specify the nature or context of these risks or limitations."
The information question Salutation in the BRP API Persons,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to provide targeted information to organizations using the BRP, with clear objectives such as data minimization, error prevention, transparency, and cost savings.",2,"The methods and models section provides a clear explanation of the inputs (gender, initials, prefixes, and gender name) and the process of how the salutation is composed, both for a person without a partner and with a (former) partner.",2,"The risks section explicitly describes known risks such as errors in processing, difficulty in verification and correction, repeating errors, changing calculation rules without following procedures, fragmented assessment of effects, and automated decision-making without human intervention, along with the measures taken to mitigate these risks."
Vegetation algorithm (Iteratio 2),2,"The goal is specific and contextualized, aiming to improve the analysis of terrain conditions for nature conservation and restoration using collected data, with clear policy and research objectives.",2,"The logic is clearly explained, detailing the inputs (vegetation recordings), the process (iterative calculations to produce indicator values and average terrain condition values), and the model type (Iteratio, a computer program creating terrain condition maps).",1,"The limitations are mentioned, acknowledging potential errors in the algorithm, but the nature or context of these errors is not specified."
Detecting tax risks of inaccuracies in customs declarations on origin and provenance of goods,2,"The goal is specific and contextualized, aiming to efficiently select potentially incorrect declarations based on the origin and provenance of goods, with a clear policy objective of speeding up the declaration checking process.",2,"The logic is clearly explained, detailing the use of decision rules created with content experts, providing examples of 'if-then-else' combinations, and explaining how these rules are used to estimate the risk of fraud or incorrect data.",2,"The limitations are explicitly described, mentioning the 4-eye principle, weekly checks, potential adjustments to the profile, and monitoring of internal and external complaints and incidents, which could indicate a profile being insufficiently specific."
Living environment: Calculation of fees,2,"The goal is specific and contextualized, explaining the purpose of the algorithm in calculating fees for municipal services based on various factors.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing different calculation methods and their applications.",2,"The risks section explicitly describes known risks, such as the potential for incorrect fee imposition due to wrong basis or outdated system setup, and measures to mitigate these risks."
